,filename,n_words,n_unique_words
0,..\data\100_english_novels\corpus\1snyd.txt,98,77
1,..\data\100_english_novels\corpus\2snyd.txt,194,140
2,..\data\100_english_novels\corpus\Anon_Clara_1864.txt,196577,15266
3,..\data\100_english_novels\corpus\Barclay_Ladies_1917.txt,122136,8972
4,..\data\100_english_novels\corpus\Barclay_Postern_1911.txt,39962,5032
5,..\data\100_english_novels\corpus\Barclay_Rosary_1909.txt,105812,8953
6,..\data\100_english_novels\corpus\Bennet_Babylon_1902.txt,67910,7289
7,..\data\100_english_novels\corpus\Bennet_Helen_1910.txt,52260,6834
8,..\data\100_english_novels\corpus\Bennet_Imperial_1930.txt,254536,16606
9,..\data\100_english_novels\corpus\Blackmore_Erema_1877.txt,166853,11548
10,..\data\100_english_novels\corpus\Blackmore_Lorna_1869.txt,272733,14782
11,..\data\100_english_novels\corpus\Blackmore_Springhaven_1887.txt,201960,14005
12,..\data\100_english_novels\corpus\Braddon_Audley_1862.txt,148656,11266
13,..\data\100_english_novels\corpus\Braddon_Phantom_1883.txt,180566,13788
14,..\data\100_english_novels\corpus\Braddon_Quest_1871.txt,174166,10754
15,..\data\100_english_novels\corpus\Burnett_Garden_1911.txt,80998,5433
16,..\data\100_english_novels\corpus\Burnett_Lord_1886.txt,58664,5005
17,..\data\100_english_novels\corpus\Burnett_Princess_1905.txt,66832,5467
18,..\data\100_english_novels\corpus\Cbronte_Jane_1847.txt,187007,14218
19,..\data\100_english_novels\corpus\Cbronte_Shirley_1849.txt,215997,16807
20,..\data\100_english_novels\corpus\Cbronte_Villette_1853.txt,193999,16585
21,..\data\100_english_novels\corpus\Chesterton_Innocence_1911.txt,79039,8677
22,..\data\100_english_novels\corpus\Chesterton_Napoleon_1904.txt,54849,7220
23,..\data\100_english_novels\corpus\Chesterton_Thursday_1908.txt,57992,6905
24,..\data\100_english_novels\corpus\Conrad_Almayer_1895.txt,62903,6853
25,..\data\100_english_novels\corpus\Conrad_Nostromo_1904.txt,170901,13611
26,..\data\100_english_novels\corpus\Conrad_Rover_1923.txt,87541,7845
27,..\data\100_english_novels\corpus\Corelli_Innocent_1914.txt,121915,13566
28,..\data\100_english_novels\corpus\Corelli_Romance_1886.txt,99443,9907
29,..\data\100_english_novels\corpus\Corelli_Satan_1895.txt,162815,13351
30,..\data\100_english_novels\corpus\Dickens_Bleak_1853.txt,355354,17538
31,..\data\100_english_novels\corpus\Dickens_Expectations_1861.txt,185427,12318
32,..\data\100_english_novels\corpus\Dickens_Oliver_1839.txt,158587,11814
33,..\data\100_english_novels\corpus\Doyle_Hound_1902.txt,59459,6279
34,..\data\100_english_novels\corpus\Doyle_Lost_1912.txt,75875,8640
35,..\data\100_english_novels\corpus\Doyle_Micah_1889.txt,177917,15051
36,..\data\100_english_novels\corpus\Eliot_Adam_1859.txt,215107,13163
37,..\data\100_english_novels\corpus\Eliot_Daniel_1876.txt,311268,16693
38,..\data\100_english_novels\corpus\Eliot_Felix_1866.txt,182747,13976
39,..\data\100_english_novels\corpus\Ford_Girl_1907.txt,34854,4994
40,..\data\100_english_novels\corpus\Ford_Post_1926.txt,69150,9297
41,..\data\100_english_novels\corpus\Ford_Soldier_1915.txt,75871,7324
42,..\data\100_english_novels\corpus\Forster_Angels_1905.txt,49898,6050
43,..\data\100_english_novels\corpus\Forster_Howards_1910.txt,109599,10222
44,..\data\100_english_novels\corpus\Forster_View_1908.txt,67077,7504
45,..\data\100_english_novels\corpus\Galsworthy_Man_1906.txt,109344,10210
46,..\data\100_english_novels\corpus\Galsworthy_River_1933.txt,89655,8643
47,..\data\100_english_novels\corpus\Galsworthy_Saints_1919.txt,94398,8501
48,..\data\100_english_novels\corpus\Gaskell_Lovers_1863.txt,190926,12495
49,..\data\100_english_novels\corpus\Gaskell_Ruth_1855.txt,161660,10543
50,..\data\100_english_novels\corpus\Gaskell_Wives_1865.txt,269756,12744
51,..\data\100_english_novels\corpus\Gissing_Unclassed_1884.txt,124783,9361
52,..\data\100_english_novels\corpus\Gissing_Warburton_1903.txt,84930,7848
53,..\data\100_english_novels\corpus\Gissing_Women_1893.txt,139011,9729
54,..\data\100_english_novels\corpus\Haggard_Mines_1885.txt,82462,7866
55,..\data\100_english_novels\corpus\Haggard_Sheallan_1921.txt,121077,8508
56,..\data\100_english_novels\corpus\Haggard_She_1887.txt,112446,9726
57,..\data\100_english_novels\corpus\Hardy_Jude_1895.txt,145421,12004
58,..\data\100_english_novels\corpus\Hardy_Madding_1874.txt,136848,13200
59,..\data\100_english_novels\corpus\Hardy_Tess_1891.txt,149705,13499
60,..\data\100_english_novels\corpus\James_Ambassadors_1903.txt,164558,9667
61,..\data\100_english_novels\corpus\James_Roderick_1875.txt,132183,10398
62,..\data\100_english_novels\corpus\James_Tragic_1890.txt,207285,12219
63,..\data\100_english_novels\corpus\Kipling_Captains_1896.txt,52920,7889
64,..\data\100_english_novels\corpus\Kipling_Kim_1901.txt,106012,10996
65,..\data\100_english_novels\corpus\Kipling_Light_1891.txt,71542,8070
66,..\data\100_english_novels\corpus\Lawrence_Peacock_1911.txt,124156,11035
67,..\data\100_english_novels\corpus\Lawrence_Serpent_1926.txt,171745,12310
68,..\data\100_english_novels\corpus\Lawrence_Women_1920.txt,181439,12908
69,..\data\100_english_novels\corpus\Lee_Albany_1884.txt,62713,8458
70,..\data\100_english_novels\corpus\Lee_Brown_1884.txt,48149,6290
71,..\data\100_english_novels\corpus\Lee_Penelope_1903.txt,21755,3857
72,..\data\100_english_novels\corpus\Lytton_Kenelm_1873.txt,191449,14570
73,..\data\100_english_novels\corpus\Lytton_Novel_1853.txt,449665,22424
74,..\data\100_english_novels\corpus\Lytton_What_1858.txt,332152,21715
75,..\data\100_english_novels\corpus\Meredith_Feverel_1859.txt,168712,14581
76,..\data\100_english_novels\corpus\Meredith_Marriage_1895.txt,155345,15594
77,..\data\100_english_novels\corpus\Meredith_Richmond_1871.txt,214889,16996
78,..\data\100_english_novels\corpus\Morris_Roots_1890.txt,154236,7876
79,..\data\100_english_novels\corpus\Morris_Water_1897.txt,147680,7252
80,..\data\100_english_novels\corpus\Morris_Wood_1894.txt,49934,4228
81,..\data\100_english_novels\corpus\Schreiner_Farm_1883.txt,100498,7900
82,..\data\100_english_novels\corpus\Schreiner_Trooper_1897.txt,24557,3083
83,..\data\100_english_novels\corpus\Schreiner_Undine_1929.txt,90608,7379
84,..\data\100_english_novels\corpus\Stevenson_Arrow_1888.txt,80254,7770
85,..\data\100_english_novels\corpus\Stevenson_Catriona_1893.txt,102008,8338
86,..\data\100_english_novels\corpus\Stevenson_Treasure_1883.txt,68411,6699
87,..\data\100_english_novels\corpus\Thackeray_Esmond_1852.txt,186780,12902
88,..\data\100_english_novels\corpus\Thackeray_Pendennis_1850.txt,355737,19636
89,..\data\100_english_novels\corpus\Thackeray_Virginians_1859.txt,356171,19055
90,..\data\100_english_novels\corpus\Trollope_Angel_1881.txt,217633,10650
91,..\data\100_english_novels\corpus\Trollope_Phineas_1869.txt,263749,10549
92,..\data\100_english_novels\corpus\Trollope_Warden_1855.txt,72059,7374
93,..\data\100_english_novels\corpus\Ward_Ashe_1905.txt,141359,13513
94,..\data\100_english_novels\corpus\Ward_Harvest_1920.txt,74943,9035
95,..\data\100_english_novels\corpus\Ward_Milly_1881.txt,47588,3859
96,..\data\100_english_novels\corpus\Wcollins_Basil_1852.txt,116445,8908
97,..\data\100_english_novels\corpus\Wcollins_Legacy_1889.txt,119591,7617
98,..\data\100_english_novels\corpus\Wcollins_Woman_1860.txt,246869,11575
99,..\data\100_english_novels\corpus\Woolf_Lighthouse_1927.txt,69697,7252
100,..\data\100_english_novels\corpus\Woolf_Night_1919.txt,166863,11395
101,..\data\100_english_novels\corpus\Woolf_Years_1937.txt,128297,9354
